Tipo Info. :    2  (1=Reduc;2=Absoluto)
2019     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135     135      92     116     135     135     135     135     135     135     135     135     120     120     135     120      94      94      94      94
**** Planta:  213 GUAVIO      
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1250    1199    1250    1149    1225    1021    1000     975    1179    1046    1000    1000    1179    1199    1046    1046    1149    1225
**** Planta:  309 PARAISO     
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276     276      27     276     218     276     276     276     260     276     276     276     276     276     260     276     276     276     260     259
**** Planta:  310 LA GUACA    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324     324      32     324     251     324     324     318     305     324     324     324     324     324     305     324     324     324     305     303
**** Planta:  311 SALTO II    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      35      21      21      35      33      35      35      35      35      35      35      33      35      35      33      35
**** Planta:  313 DARIO VALENC
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     150     144     150     150     147     144     137     150     150     150     130     147     150     150     150     141     150     150     147     144
**** Planta:  399 EL QUIMBO   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     400     210      97     230     400     400     400     400     400     400     400     388     320     383     383     383
**** Planta:  403 CHIVOR      
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000    1000     993     922    1000    1000    1000    1000    1000     881     875     875     903     975     987    1000    1000    1000    1000     881     500
2020     500     500     500     500     500     500     487     500     500     500     487     500     500     500     500     500     500     500     500     500     878     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844     844
**** Planta:  404 PRADO       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51      51       0       0       0      24      46      47      47      47      47      47      47      47      47      47      47
**** Planta:  408 BETANIA     
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     540     411     540     540     540     368     360     419     504     498     498     498     498     498     498     498     498     498     498     498
**** Planta:  409 ALTOANCHICAY
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     355     240     240     240     240     240     240     240     240     240     240     240     306     315     315     315     315     315     315     315
**** Planta:  410 BAJOANCHICAY
