BLOCK        1     2     3     4     5
DURAT(%)  2.42 29.17  37.5    25  5.91
**** Load  :    1 COLOMBIA     Sgmnt:    1             Demanda
A~no Blk ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2017   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2017   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
2018   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
2018   2 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86
2018   3 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67
2018   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2018   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
2019   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
2019   2 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86
2019   3 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67
2019   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2019   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
2020   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
2020   2 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86
2020   3 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67
2020   4 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45 32.45
2020   5  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67  7.67
2021   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
2021   2 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86 37.86
2021   3 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67 48.67
