NUM: 101 URRA                  Penal: 0        -1.
2018   4.6   4.6   4.6   4.6   4.6  5.43  5.43  5.43  5.43  7.21  7.21  7.21  7.21  7.95  7.95  7.95  7.95  6.11  6.11  6.11  6.11  6.11  6.42  6.42  6.42  6.42  6.54  6.54  6.54  6.54  6.39  6.39  6.39  6.39  6.39  4.94  4.94  4.94  4.94  4.75  4.75  4.75  4.75  4.75  4.12  4.12  4.12  4.12  4.15  4.15  4.15  4.15
2019   4.6   4.6   4.6   4.6   4.6  5.43  5.43  5.43  5.43  7.21  7.21  7.21  7.21  7.95  7.95  7.95  7.95  6.11  6.11  6.11  6.11  6.11  6.42  6.42  6.42  6.42  6.54  6.54  6.54  6.54  6.39  6.39  6.39  6.39  6.39  4.94  4.94  4.94  4.94  4.75  4.75  4.75  4.75  4.75  4.12  4.12  4.12  4.12  4.15  4.15  4.15  4.15
2020   4.6   4.6   4.6   4.6   4.6  5.43  5.43  5.43  5.43  7.21  7.21  7.21  7.21  7.95  7.95  7.95  7.95  6.11  6.11  6.11  6.11  6.11  6.42  6.42  6.42  6.42  6.54  6.54  6.54  6.54  6.39  6.39  6.39  6.39  6.39  4.94  4.94  4.94  4.94  4.75  4.75  4.75  4.75  4.75  4.12  4.12  4.12  4.12  4.15  4.15  4.15  4.15
2021   4.6   4.6   4.6   4.6   4.6  5.43  5.43  5.43  5.43  7.21  7.21  7.21  7.21  7.95  7.95  7.95  7.95  6.11  6.11  6.11  6.11  6.11  6.42  6.42  6.42  6.42  6.54  6.54  6.54  6.54  6.39  6.39  6.39  6.39  6.39  4.94  4.94  4.94  4.94  4.75  4.75  4.75  4.75  4.75  4.12  4.12  4.12  4.12  4.15  4.15  4.15  4.15
2022   4.6   4.6   4.6   4.6   4.6  5.43  5.43  5.43  5.43  7.21  7.21  7.21  7.21  7.95  7.95  7.95  7.95  6.11  6.11  6.11  6.11  6.11  6.42  6.42  6.42  6.42  6.54  6.54  6.54  6.54  6.39  6.39  6.39  6.39  6.39  4.94  4.94  4.94  4.94  4.75  4.75  4.75  4.75  4.75  4.12  4.12  4.12  4.12  4.15  4.15  4.15  4.15
2023   4.6   4.6   4.6   4.6   4.6  5.43  5.43  5.43  5.43  7.21  7.21  7.21  7.21  7.95  7.95  7.95  7.95  6.11  6.11  6.11  6.11  6.11  6.42  6.42  6.42  6.42  6.54  6.54  6.54  6.54  6.39  6.39  6.39  6.39  6.39  4.94  4.94  4.94  4.94  4.75  4.75  4.75  4.75  4.75  4.12  4.12  4.12  4.12  4.15  4.15  4.15  4.15
NUM: 404 PRADO                 Penal: 0        -1.
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2019  1.03  1.03  1.03  1.03  1.03  1.33  1.33  1.33  1.33  2.36  2.36  2.36  2.36  0.83  0.83  0.83  0.83  1.41  1.41  1.41  1.41  1.41  1.87  1.87  1.87  1.87  3.21  3.21  3.21  3.21  2.93  2.93  2.93  2.93  2.93  2.08  2.08  2.08  2.08  1.92  1.92  1.92  1.92  1.92  1.01  1.01  1.01  1.01  0.01  0.01  0.01  0.01
2020  1.03  1.03  1.03  1.03  1.03  1.33  1.33  1.33  1.33  2.36  2.36  2.36  2.36  0.83  0.83  0.83  0.83  1.41  1.41  1.41  1.41  1.41  1.87  1.87  1.87  1.87  3.21  3.21  3.21  3.21  2.93  2.93  2.93  2.93  2.93  2.08  2.08  2.08  2.08  1.92  1.92  1.92  1.92  1.92  1.01  1.01  1.01  1.01  0.01  0.01  0.01  0.01
