 NUM. Tp ...NombreB.. Id  # tg Plnt Nombre Gener.Area %per1 Ploa1 Pind1 PerF1 %per2 Ploa2 Pind2 PerF2 %per3 Ploa3 Pind3 PerF3 %per4 Ploa4 Pind4 PerF4 %per5 Ploa5 Pind5 PerF5 Icca
  259  0 Bavaria115   co                            4                                                                                                                            0
  260  0 Bmanga115    co                            4                                                                                                                            0
  261  0 NtpCPR1      co                            4                                                                                                                            0
  262  0 Tunja115     co                            4                                                                                                                            0
  263  0 Lizama115    co                            4                                                                                                                            0
  264  0 SnSilvestre1 co                            4                                                                                                                            0
  265  0 Ayacucho115  co                            4                                                                                                                            0
  266  0 Convencion1  co                            4                                                                                                                            0
  267  0 Ocaña115     co  1  1  129 BARTOLOME       4                                                                                                                            0
  267  0 Ocaña115     co  2  1  128 OIBITA          4                                                                                                                            0
  268  0 Insula115    co                            4                                                                                                                            0
  269  0 Diaco115     co                            4                                                                                                                            0
  270  0 Duitama115   co                            4                                                                                                                            0
  271  0 FloridaESSA1 co                            4                                                                                                                            0
  272  0 SnMateo115   co                            4                                                                                                                            0
  273  0 Aguachica1   co                            4                                                                                                                            0
  274  0 Palos115     co                            4                                                                                                                            0
  275  0 Piedecuesta1 co  1  1  127 PIEDRADELSOL    4                                                                                                                            0
  276  0 SanGil115    co                            4                                                                                                                            0
  277  0 Boavita115   co                            4                                                                                                                            0
  278  0 Ramada115    co                            4                                                                                                                            0
  279  0 Yopal115     co  1  2 2092 TERMOYOPALG3    4                                                                                                                            0
  279  0 Yopal115     co  2  2 2093 TERMOYOPALG4    4                                                                                                                            0
  279  0 Yopal115     co  3  2 2094 TERMOYOPALG5    4                                                                                                                            0
  280  0 Sidenal115   co                            4                                                                                                                            0
  281  0 PazdeAripor1 co                            4                                                                                                                            0
  282  0 Termoyopal1  co  1  2 2032 TERMO YOPAL2    4                                                                                                                            0
  284  0 CLimon2      co                            4                                                                                                                            0
  300  0 Banadia115   co                            4                                                                                                                            0
  301  0 Realminas1   co                            4                                                                                                                            0
  302  0 SabanadeTor1 co                            4                                                                                                                            0
  303  0 SnAlberto1   co                            4                                                                                                                            0
  304  0 Palenque3    co                            4                                                                                                                            0
  310  0 Banadia2     co                            4                                                                                                                            0
  314  0 Cimitarra1   co                            4                                                                                                                            0
  316  0 Merilectric2 co  1  2 1080 MERILECTRICA    4                                                                                                                            0
  318  0 Samore2      co                            4                                                                                                                            0
  319  0 Tibu115      co                            4                                                                                                                            0
  320  0 Toledo2      co                            4                                                                                                                            0
  321  0 Zulia115     co                            4                                                                                                                            0
