$version=3
!Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos TechTyp
 187 E_Ahumado     1174    1    1     50.       1.      0.    0   173      0.      0.       0
 188 PCH_Libertad   281    1    1     1.2       1.      0.    0   188      0.      0.       0
 189 S_PetaloCesa  1158    1    1     9.9       1.      0.    0    97      0.      0.       0
 190 S_Cartago      435    1    1     99.       1.      0.    0   190      0.      0.       0
 191 S_PortonSol    345    1    1    102.       1.      0.    0   191      0.      0.       0
 192 S_Fundacion   1146    1    1    100.       1.      0.    0   192      0.      0.       0
 193 S_LaSierra     343    1    1    200.       1.      0.    0   193      0.      0.       0
 194 S_Chicamocha   276    1    1     80.       1.      0.    0   194      0.      0.       0
 195 S_Codazzi1    1171    1    1    19.9       1.      0.    0   195      0.      0.       0
 196 S_Codazzi2    1171    1    1    19.9       1.      0.    0   196      0.      0.       0
 197 S_Tayrona     1306    1    1     76.       1.      0.    0   197      0.      0.       0
 198 S_Paipa_I      243    1    1     88.       1.      0.    0   198      0.      0.       0
 199 S_Paipa_II     243    1    1     72.       1.      0.    0   199      0.      0.       0
 200 S_Tepuy       1030    1    1     83.       1.      0.    0   200      0.      0.       0
 201 S_Wimke       1158    1    1     76.       1.      0.    0   201      0.      0.       0
 202 H_Pocune       119    1    1      1.       1.      0.    0   202      0.      0.       0
 203 S_Morrosqll1  1084    1    1    19.5       1.      0.    0   203      0.      0.       0
 204 S_Morrosqll2  1084    1    1    19.5       1.      0.    0   204      0.      0.       0
 205 S_LaCayena    1084    1    1    19.9       1.      0.    0   205      0.      0.       0
 206 S_ZambranoII   954    1    1    15.5       1.      0.    0   206      0.      0.       0
 207 S_Filigrana   1084    1    1     9.9       1.      0.    0   207      0.      0.       0
 208 S_Baranoa      147    1    1    19.9       1.      0.    0   208      0.      0.       0
 209 S_BSBolvr503   147    1    1    19.9       1.      0.    0   209      0.      0.       0
 210 S_BSBolvr504   147    1    1    19.9       1.      0.    0   210      0.      0.       0
 211 S_ElColibri    147    1    1    19.9       1.      0.    0   211      0.      0.       0
 212 S_LaUnion     1084    1    1    100.       1.      0.    0   212      0.      0.       0
 213 S_Guayepo      147    1    1    400.       1.      0.    0   213      0.      0.       0
 214 S_AtlanPhoto   147    1    1   199.5       1.      0.    0   214      0.      0.       0
 215 S_LaMata       245    1    1     80.       1.      0.    0   215      0.      0.       0
 216 S_BSCerro     1091    1    1    139.       1.      0.    0   216      0.      0.       0
 217 H_Chorrera      39    1    1     15.       1.      0.    0   217      0.      0.       0
 218 S_PalmaSeca    416    1    1     28.       1.      0.    0   218      0.      0.       0
 219 S_Campano     1084    1    1    99.9       1.      0.    0   219      0.      0.       0
 220 S_Guayacanes   343    1    1    200.       1.      0.    0   220      0.      0.       0
 221 S_Ubate        634    1    1     28.       1.      0.    0   221      0.      0.       0
 222 S_Caracoli     147    1    1     50.       1.      0.    0   222      0.      0.       0
 223 E_Acacias2    1150    1    1     80.       1.      0.    0   223      0.      0.       0
 224 S_Prubenza     634    1    1     50.       1.      0.    0   224      0.      0.       0
 225 S_Eltrebol     954    1    1     20.       1.      0.    0   225      0.      0.       0
  91 E_PARQBETA     889    1    1    280.       1.      0.    0    86      0.      0.       0
  92 E_Chemesky     889    1    1      0.       1.      0.    0    92      0.      0.       0
  93 E_TumaWind     889    1    1  197.77       1.      0.    0    91      0.      0.       0
 101 E_ParqueAlph   889    1    1    212.       1.      0.    0    86      0.      0.       0
 226 S_yariguies    245    1    1    200.       1.      0.    0   215      0.      0.       0
 227 S_Andes        245    1    1     85.       1.      0.    0   215      0.      0.       0
