Num Graph...........................|...Unid Type  Y/N
310 Decision de commitment termico   pu         2    0
311 Generacion renovable (p.u.)      pu         2    0
312 Escenarios renovables sorteados        0    2    0
313 Generacion neta de bateria       MWh        2    0
314 Alm. de energia en bateria       MWh        2    0
315 Costo marginal de Alm. de bateria$/MWh      3    0
317 Costo marginal de cap. de bateria$/MWh      3    0
321 Factor de produccion acumulado   MW/m3/s    2    0
323 Exceso de generacion por sistema GWh        2    0
324 Exceso de generacion por barra   GWh        2    0
325 Decision de arranque termico     0/1        2    0
327 Duracion de los bloques en pu    pu         0    0
329 Costo de viol. de vol. max. op.  k$         1    0
330 Viol. de vol. max. op.           hm3        2    0
331 Volumen maximo operativo         hm3        0    0
332 Costo marg. de volumen max op.   $/hm3      3    0
333 Reserva secundaria batería       MW         2    0
